test_id,clone_code_id,desired_base_code_id,clone_language,clone_task,clone_type,clone_sub_type,similarity_score,base_code_id,base_language,base_task,base_domain,base_subdomain
5cux_2_2_2,5cux_2_2,5cux,python,ASCII art diagram converter,T2,Different Data Types,0.9949556,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
5cux_2_2_3,5cux_2_2,5cux,python,ASCII art diagram converter,T2,Different Data Types,0.9932701,vu129,python,100 prisoners,Game Development,Puzzles
5cux_2_2_4,5cux_2_2,5cux,python,ASCII art diagram converter,T2,Different Data Types,0.9924382,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
5cux_2_2_5,5cux_2_2,5cux,python,ASCII art diagram converter,T2,Different Data Types,0.99219227,l26cv,python,Active object,Programming Concepts,Concurrency
5cux_2_3_1,5cux_2_3,5cux,python,ASCII art diagram converter,T2,Different Function Names,0.99937516,5cux,python,ASCII art diagram converter,Programming Concepts,Text Processing
5cux_2_3_2,5cux_2_3,5cux,python,ASCII art diagram converter,T2,Different Function Names,0.9954095,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
5cux_2_3_3,5cux_2_3,5cux,python,ASCII art diagram converter,T2,Different Function Names,0.99376416,vu129,python,100 prisoners,Game Development,Puzzles
5cux_2_3_4,5cux_2_3,5cux,python,ASCII art diagram converter,T2,Different Function Names,0.99250335,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
5cux_2_3_5,5cux_2_3,5cux,python,ASCII art diagram converter,T2,Different Function Names,0.99246097,08hsq,python,Abelian sandpile model,Mathematics,Automata
5cux_3_1_1,5cux_3_1,5cux,python,ASCII art diagram converter,T3,Added Statements,0.9982317,5cux,python,ASCII art diagram converter,Programming Concepts,Text Processing
5cux_3_1_2,5cux_3_1,5cux,python,ASCII art diagram converter,T3,Added Statements,0.9946284,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
5cux_3_1_3,5cux_3_1,5cux,python,ASCII art diagram converter,T3,Added Statements,0.9938064,1eypc,python,Anti-primes,Mathematics,Number Theory
5cux_3_1_4,5cux_3_1,5cux,python,ASCII art diagram converter,T3,Added Statements,0.9931557,l26cv,python,Active object,Programming Concepts,Concurrency
5cux_3_1_5,5cux_3_1,5cux,python,ASCII art diagram converter,T3,Added Statements,0.99299234,vu129,python,100 prisoners,Game Development,Puzzles
5cux_3_2_1,5cux_3_2,5cux,python,ASCII art diagram converter,T3,Removed Statements,0.9975289,5cux,python,ASCII art diagram converter,Programming Concepts,Text Processing
5cux_3_2_2,5cux_3_2,5cux,python,ASCII art diagram converter,T3,Removed Statements,0.99386305,l26cv,python,Active object,Programming Concepts,Concurrency
5cux_3_2_3,5cux_3_2,5cux,python,ASCII art diagram converter,T3,Removed Statements,0.993524,vu129,python,100 prisoners,Game Development,Puzzles
5cux_3_2_4,5cux_3_2,5cux,python,ASCII art diagram converter,T3,Removed Statements,0.9934598,1eypc,python,Anti-primes,Mathematics,Number Theory
5cux_3_2_5,5cux_3_2,5cux,python,ASCII art diagram converter,T3,Removed Statements,0.99342066,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
5cux_3_3_1,5cux_3_3,5cux,python,ASCII art diagram converter,T3,Reordered Statements,0.9990274,5cux,python,ASCII art diagram converter,Programming Concepts,Text Processing
5cux_3_3_2,5cux_3_3,5cux,python,ASCII art diagram converter,T3,Reordered Statements,0.9950581,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
5cux_3_3_3,5cux_3_3,5cux,python,ASCII art diagram converter,T3,Reordered Statements,0.99361855,vu129,python,100 prisoners,Game Development,Puzzles
5cux_3_3_4,5cux_3_3,5cux,python,ASCII art diagram converter,T3,Reordered Statements,0.99244565,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
5cux_3_3_5,5cux_3_3,5cux,python,ASCII art diagram converter,T3,Reordered Statements,0.9922752,l26cv,python,Active object,Programming Concepts,Concurrency
5cux_3_4_1,5cux_3_4,5cux,python,ASCII art diagram converter,T3,Control Flow Modifications,0.99796754,5cux,python,ASCII art diagram converter,Programming Concepts,Text Processing
5cux_3_4_2,5cux_3_4,5cux,python,ASCII art diagram converter,T3,Control Flow Modifications,0.9937719,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
5cux_3_4_3,5cux_3_4,5cux,python,ASCII art diagram converter,T3,Control Flow Modifications,0.9937069,l26cv,python,Active object,Programming Concepts,Concurrency
5cux_3_4_4,5cux_3_4,5cux,python,ASCII art diagram converter,T3,Control Flow Modifications,0.9927754,vu129,python,100 prisoners,Game Development,Puzzles
5cux_3_4_5,5cux_3_4,5cux,python,ASCII art diagram converter,T3,Control Flow Modifications,0.9926812,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
5cux_4_1_1,5cux_4_1,5cux,python,ASCII art diagram converter,T4,Same Language,0.99732137,5cux,python,ASCII art diagram converter,Programming Concepts,Text Processing
5cux_4_1_2,5cux_4_1,5cux,python,ASCII art diagram converter,T4,Same Language,0.9939318,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
5cux_4_1_3,5cux_4_1,5cux,python,ASCII art diagram converter,T4,Same Language,0.99324286,vu129,python,100 prisoners,Game Development,Puzzles
5cux_4_1_4,5cux_4_1,5cux,python,ASCII art diagram converter,T4,Same Language,0.9930958,08hsq,python,Abelian sandpile model,Mathematics,Automata
5cux_4_1_5,5cux_4_1,5cux,python,ASCII art diagram converter,T4,Same Language,0.992853,l26cv,python,Active object,Programming Concepts,Concurrency
5cux_4_2_1,5cux_4_2,5cux,go,ASCII art diagram converter,T4,Different Language,0.9905229,grn4h,python,Abundant odd numbers,Mathematics,Number Theory
5cux_4_2_2,5cux_4_2,5cux,go,ASCII art diagram converter,T4,Different Language,0.9796518,u5evd,python,24 game,Game Development,Puzzles
5cux_4_2_3,5cux_4_2,5cux,go,ASCII art diagram converter,T4,Different Language,0.97679174,1eypc,python,Anti-primes,Mathematics,Number Theory
5cux_4_2_4,5cux_4_2,5cux,go,ASCII art diagram converter,T4,Different Language,0.97564864,r70gq,python,24 game/Solve,Game Development,Puzzles
5cux_4_2_5,5cux_4_2,5cux,go,ASCII art diagram converter,T4,Different Language,0.9748167,b1skr,python,Almkvist-Giullera formula for pi,Mathematics,Numerical Methods
5cux_4_2_1,5cux_4_2,5cux,java,ASCII art diagram converter,T4,Different Language,0.98430455,t3mfw,python,Amb,Programming Concepts,Functional Programming
5cux_4_2_2,5cux_4_2,5cux,java,ASCII art diagram converter,T4,Different Language,0.9814593,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
5cux_4_2_3,5cux_4_2,5cux,java,ASCII art diagram converter,T4,Different Language,0.98005855,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
5cux_4_2_4,5cux_4_2,5cux,java,ASCII art diagram converter,T4,Different Language,0.9797816,vu129,python,100 prisoners,Game Development,Puzzles
5cux_4_2_5,5cux_4_2,5cux,java,ASCII art diagram converter,T4,Different Language,0.9797543,fz9de,python,Algebraic data types,Programming Concepts,Data Structures
5cux_4_2_1,5cux_4_2,5cux,ruby,ASCII art diagram converter,T4,Different Language,0.97971725,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
5cux_4_2_2,5cux_4_2,5cux,ruby,ASCII art diagram converter,T4,Different Language,0.9761365,vu129,python,100 prisoners,Game Development,Puzzles
5cux_4_2_3,5cux_4_2,5cux,ruby,ASCII art diagram converter,T4,Different Language,0.9750304,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
5cux_4_2_4,5cux_4_2,5cux,ruby,ASCII art diagram converter,T4,Different Language,0.9749747,1eypc,python,Anti-primes,Mathematics,Number Theory
5cux_4_2_5,5cux_4_2,5cux,ruby,ASCII art diagram converter,T4,Different Language,0.9743203,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_1_1_1,kb6hf_1_1,kb6hf,python,"Abbreviations, automatic",T1,Identical Clone,0.9999999,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_1_1_2,kb6hf_1_1,kb6hf,python,"Abbreviations, automatic",T1,Identical Clone,0.99528646,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_1_1_3,kb6hf_1_1,kb6hf,python,"Abbreviations, automatic",T1,Identical Clone,0.993565,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_1_1_4,kb6hf_1_1,kb6hf,python,"Abbreviations, automatic",T1,Identical Clone,0.99037933,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_1_1_5,kb6hf_1_1,kb6hf,python,"Abbreviations, automatic",T1,Identical Clone,0.9897857,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
kb6hf_1_2_1,kb6hf_1_2,kb6hf,python,"Abbreviations, automatic",T1,Different Whitespaces,0.98770434,c279q,python,Amicable pairs,Mathematics,Number Theory
kb6hf_1_2_2,kb6hf_1_2,kb6hf,python,"Abbreviations, automatic",T1,Different Whitespaces,0.98362815,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
kb6hf_1_2_3,kb6hf_1_2,kb6hf,python,"Abbreviations, automatic",T1,Different Whitespaces,0.9801769,36bzc,python,9 billion names of God the integer,Mathematics,Number Theory
kb6hf_1_2_4,kb6hf_1_2,kb6hf,python,"Abbreviations, automatic",T1,Different Whitespaces,0.9788411,nf6iz,python,Almost prime,Mathematics,Number Theory
kb6hf_1_2_5,kb6hf_1_2,kb6hf,python,"Abbreviations, automatic",T1,Different Whitespaces,0.9764776,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_1_3_1,kb6hf_1_3,kb6hf,python,"Abbreviations, automatic",T1,Different Comments,0.9999999,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_1_3_2,kb6hf_1_3,kb6hf,python,"Abbreviations, automatic",T1,Different Comments,0.99528646,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_1_3_3,kb6hf_1_3,kb6hf,python,"Abbreviations, automatic",T1,Different Comments,0.993565,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_1_3_4,kb6hf_1_3,kb6hf,python,"Abbreviations, automatic",T1,Different Comments,0.99037933,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_1_3_5,kb6hf_1_3,kb6hf,python,"Abbreviations, automatic",T1,Different Comments,0.9897857,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
kb6hf_1_4_1,kb6hf_1_4,kb6hf,python,"Abbreviations, automatic",T1,Different Formatting,0.9997447,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_1_4_2,kb6hf_1_4,kb6hf,python,"Abbreviations, automatic",T1,Different Formatting,0.9944222,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_1_4_3,kb6hf_1_4,kb6hf,python,"Abbreviations, automatic",T1,Different Formatting,0.9932358,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_1_4_4,kb6hf_1_4,kb6hf,python,"Abbreviations, automatic",T1,Different Formatting,0.989558,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
kb6hf_1_4_5,kb6hf_1_4,kb6hf,python,"Abbreviations, automatic",T1,Different Formatting,0.9887902,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_2_1_1,kb6hf_2_1,kb6hf,python,"Abbreviations, automatic",T2,Different Variable Names,0.99960345,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_2_1_2,kb6hf_2_1,kb6hf,python,"Abbreviations, automatic",T2,Different Variable Names,0.99555975,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_2_1_3,kb6hf_2_1,kb6hf,python,"Abbreviations, automatic",T2,Different Variable Names,0.99322236,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_2_1_4,kb6hf_2_1,kb6hf,python,"Abbreviations, automatic",T2,Different Variable Names,0.99069774,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
kb6hf_2_1_5,kb6hf_2_1,kb6hf,python,"Abbreviations, automatic",T2,Different Variable Names,0.9906387,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_2_2_1,kb6hf_2_2,kb6hf,python,"Abbreviations, automatic",T2,Different Data Types,0.99857414,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_2_2_2,kb6hf_2_2,kb6hf,python,"Abbreviations, automatic",T2,Different Data Types,0.9947092,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_2_2_3,kb6hf_2_2,kb6hf,python,"Abbreviations, automatic",T2,Different Data Types,0.9908898,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_2_2_4,kb6hf_2_2,kb6hf,python,"Abbreviations, automatic",T2,Different Data Types,0.98898315,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_2_2_5,kb6hf_2_2,kb6hf,python,"Abbreviations, automatic",T2,Different Data Types,0.9888985,v5a29,python,Animation,Game Development,Graphics
kb6hf_2_3_1,kb6hf_2_3,kb6hf,python,"Abbreviations, automatic",T2,Different Function Names,0.99839664,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_2_3_2,kb6hf_2_3,kb6hf,python,"Abbreviations, automatic",T2,Different Function Names,0.99411607,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_2_3_3,kb6hf_2_3,kb6hf,python,"Abbreviations, automatic",T2,Different Function Names,0.9911061,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_2_3_4,kb6hf_2_3,kb6hf,python,"Abbreviations, automatic",T2,Different Function Names,0.9885098,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_2_3_5,kb6hf_2_3,kb6hf,python,"Abbreviations, automatic",T2,Different Function Names,0.9884517,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
kb6hf_3_1_1,kb6hf_3_1,kb6hf,python,"Abbreviations, automatic",T3,Added Statements,0.9995568,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_3_1_2,kb6hf_3_1,kb6hf,python,"Abbreviations, automatic",T3,Added Statements,0.99414665,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_3_1_3,kb6hf_3_1,kb6hf,python,"Abbreviations, automatic",T3,Added Statements,0.99287224,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_3_1_4,kb6hf_3_1,kb6hf,python,"Abbreviations, automatic",T3,Added Statements,0.9888515,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
kb6hf_3_1_5,kb6hf_3_1,kb6hf,python,"Abbreviations, automatic",T3,Added Statements,0.98881876,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_3_2_1,kb6hf_3_2,kb6hf,python,"Abbreviations, automatic",T3,Removed Statements,0.9986846,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_3_2_2,kb6hf_3_2,kb6hf,python,"Abbreviations, automatic",T3,Removed Statements,0.9928081,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_3_2_3,kb6hf_3_2,kb6hf,python,"Abbreviations, automatic",T3,Removed Statements,0.99224824,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_3_2_4,kb6hf_3_2,kb6hf,python,"Abbreviations, automatic",T3,Removed Statements,0.9876183,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_3_2_5,kb6hf_3_2,kb6hf,python,"Abbreviations, automatic",T3,Removed Statements,0.9864636,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
kb6hf_3_3_1,kb6hf_3_3,kb6hf,python,"Abbreviations, automatic",T3,Reordered Statements,0.99906904,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_3_3_2,kb6hf_3_3,kb6hf,python,"Abbreviations, automatic",T3,Reordered Statements,0.9930432,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_3_3_3,kb6hf_3_3,kb6hf,python,"Abbreviations, automatic",T3,Reordered Statements,0.99269456,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_3_3_4,kb6hf_3_3,kb6hf,python,"Abbreviations, automatic",T3,Reordered Statements,0.98803127,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_3_3_5,kb6hf_3_3,kb6hf,python,"Abbreviations, automatic",T3,Reordered Statements,0.9874694,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
kb6hf_3_4_1,kb6hf_3_4,kb6hf,python,"Abbreviations, automatic",T3,Control Flow Modifications,0.9991949,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_3_4_2,kb6hf_3_4,kb6hf,python,"Abbreviations, automatic",T3,Control Flow Modifications,0.9947162,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_3_4_3,kb6hf_3_4,kb6hf,python,"Abbreviations, automatic",T3,Control Flow Modifications,0.99293756,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_3_4_4,kb6hf_3_4,kb6hf,python,"Abbreviations, automatic",T3,Control Flow Modifications,0.9910755,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_3_4_5,kb6hf_3_4,kb6hf,python,"Abbreviations, automatic",T3,Control Flow Modifications,0.9890095,vu129,python,100 prisoners,Game Development,Puzzles
kb6hf_4_1_1,kb6hf_4_1,kb6hf,python,"Abbreviations, automatic",T4,Same Language,0.99455214,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_4_1_2,kb6hf_4_1,kb6hf,python,"Abbreviations, automatic",T4,Same Language,0.98890233,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_4_1_3,kb6hf_4_1,kb6hf,python,"Abbreviations, automatic",T4,Same Language,0.9885759,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
kb6hf_4_1_4,kb6hf_4_1,kb6hf,python,"Abbreviations, automatic",T4,Same Language,0.9859552,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_4_1_5,kb6hf_4_1,kb6hf,python,"Abbreviations, automatic",T4,Same Language,0.98328155,fz9de,python,Algebraic data types,Programming Concepts,Data Structures
kb6hf_4_2_1,kb6hf_4_2,kb6hf,go,"Abbreviations, automatic",T4,Different Language,0.98755383,grn4h,python,Abundant odd numbers,Mathematics,Number Theory
kb6hf_4_2_2,kb6hf_4_2,kb6hf,go,"Abbreviations, automatic",T4,Different Language,0.96426874,u5evd,python,24 game,Game Development,Puzzles
kb6hf_4_2_3,kb6hf_4_2,kb6hf,go,"Abbreviations, automatic",T4,Different Language,0.96194863,1eypc,python,Anti-primes,Mathematics,Number Theory
kb6hf_4_2_4,kb6hf_4_2,kb6hf,go,"Abbreviations, automatic",T4,Different Language,0.9599508,r70gq,python,24 game/Solve,Game Development,Puzzles
kb6hf_4_2_5,kb6hf_4_2,kb6hf,go,"Abbreviations, automatic",T4,Different Language,0.95763844,b1skr,python,Almkvist-Giullera formula for pi,Mathematics,Numerical Methods
kb6hf_4_2_1,kb6hf_4_2,kb6hf,java,"Abbreviations, automatic",T4,Different Language,0.98328424,clr9q,python,15 puzzle game,Game Development,Puzzles
kb6hf_4_2_2,kb6hf_4_2,kb6hf,java,"Abbreviations, automatic",T4,Different Language,0.98312616,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
kb6hf_4_2_3,kb6hf_4_2,kb6hf,java,"Abbreviations, automatic",T4,Different Language,0.98311234,v5a29,python,Animation,Game Development,Graphics
kb6hf_4_2_4,kb6hf_4_2,kb6hf,java,"Abbreviations, automatic",T4,Different Language,0.9813943,08hsq,python,Abelian sandpile model,Mathematics,Automata
kb6hf_4_2_5,kb6hf_4_2,kb6hf,java,"Abbreviations, automatic",T4,Different Language,0.9811239,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
kb6hf_4_2_1,kb6hf_4_2,kb6hf,javascript,"Abbreviations, automatic",T4,Different Language,0.98818034,36bzc,python,9 billion names of God the integer,Mathematics,Number Theory
kb6hf_4_2_2,kb6hf_4_2,kb6hf,javascript,"Abbreviations, automatic",T4,Different Language,0.98763484,ymi6q,python,Align columns,Programming Concepts,Text Processing
kb6hf_4_2_3,kb6hf_4_2,kb6hf,javascript,"Abbreviations, automatic",T4,Different Language,0.98710644,nf6iz,python,Almost prime,Mathematics,Number Theory
kb6hf_4_2_4,kb6hf_4_2,kb6hf,javascript,"Abbreviations, automatic",T4,Different Language,0.98647,q0oxi,python,Active Directory/Search for a user,Networking,Directory Services
kb6hf_4_2_5,kb6hf_4_2,kb6hf,javascript,"Abbreviations, automatic",T4,Different Language,0.982453,c279q,python,Amicable pairs,Mathematics,Number Theory
kb6hf_4_2_1,kb6hf_4_2,kb6hf,ruby,"Abbreviations, automatic",T4,Different Language,0.97424513,jhq7p,python,A+B,Mathematics,Arithmetic
kb6hf_4_2_2,kb6hf_4_2,kb6hf,ruby,"Abbreviations, automatic",T4,Different Language,0.97290593,mclyh,python,Active Directory/Connect,Networking,Directory Services
kb6hf_4_2_3,kb6hf_4_2,kb6hf,ruby,"Abbreviations, automatic",T4,Different Language,0.96885985,o781,python,Archimedean spiral,Mathematics,Geometry
kb6hf_4_2_4,kb6hf_4_2,kb6hf,ruby,"Abbreviations, automatic",T4,Different Language,0.9677672,z4tt,python,100 doors,Game Development,Puzzles
kb6hf_4_2_5,kb6hf_4_2,kb6hf,ruby,"Abbreviations, automatic",T4,Different Language,0.96725833,ymi6q,python,Align columns,Programming Concepts,Text Processing
2vilz_1_1_1,2vilz_1_1,2vilz,python,"Abbreviations, easy",T1,Identical Clone,1.0,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
2vilz_1_1_2,2vilz_1_1,2vilz,python,"Abbreviations, easy",T1,Identical Clone,0.9897857,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
2vilz_1_1_3,2vilz_1_1,2vilz,python,"Abbreviations, easy",T1,Identical Clone,0.9894504,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
2vilz_1_1_4,2vilz_1_1,2vilz,python,"Abbreviations, easy",T1,Identical Clone,0.9869985,v5a29,python,Animation,Game Development,Graphics
2vilz_1_1_5,2vilz_1_1,2vilz,python,"Abbreviations, easy",T1,Identical Clone,0.98683965,u4wvd,python,Anagrams/Deranged anagrams,Programming Concepts,String Operations
2vilz_1_2_1,2vilz_1_2,2vilz,python,"Abbreviations, easy",T1,Different Whitespaces,0.9914551,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
2vilz_1_2_2,2vilz_1_2,2vilz,python,"Abbreviations, easy",T1,Different Whitespaces,0.97374636,jks7p,python,Angle difference between two bearings,Mathematics,Geometry
2vilz_1_2_3,2vilz_1_2,2vilz,python,"Abbreviations, easy",T1,Different Whitespaces,0.9734998,kpyhf,python,Append a record to the end of a text file,Utilities & Scripts,File Operations
2vilz_1_2_4,2vilz_1_2,2vilz,python,"Abbreviations, easy",T1,Different Whitespaces,0.9728319,inmof,python,2048,Game Development,Puzzles
2vilz_1_2_5,2vilz_1_2,2vilz,python,"Abbreviations, easy",T1,Different Whitespaces,0.9723015,hb8jw,python,"Angles (geometric), normalization and conversion",Mathematics,Geometry
2vilz_1_3_1,2vilz_1_3,2vilz,python,"Abbreviations, easy",T1,Different Comments,0.9996049,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
2vilz_1_3_2,2vilz_1_3,2vilz,python,"Abbreviations, easy",T1,Different Comments,0.9893038,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
2vilz_1_3_3,2vilz_1_3,2vilz,python,"Abbreviations, easy",T1,Different Comments,0.9889605,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
2vilz_1_3_4,2vilz_1_3,2vilz,python,"Abbreviations, easy",T1,Different Comments,0.9865602,v5a29,python,Animation,Game Development,Graphics
2vilz_1_3_5,2vilz_1_3,2vilz,python,"Abbreviations, easy",T1,Different Comments,0.9850131,u4wvd,python,Anagrams/Deranged anagrams,Programming Concepts,String Operations
2vilz_1_4_1,2vilz_1_4,2vilz,python,"Abbreviations, easy",T1,Different Formatting,0.99142563,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
2vilz_1_4_2,2vilz_1_4,2vilz,python,"Abbreviations, easy",T1,Different Formatting,0.97407997,jks7p,python,Angle difference between two bearings,Mathematics,Geometry
2vilz_1_4_3,2vilz_1_4,2vilz,python,"Abbreviations, easy",T1,Different Formatting,0.9736267,kpyhf,python,Append a record to the end of a text file,Utilities & Scripts,File Operations
2vilz_1_4_4,2vilz_1_4,2vilz,python,"Abbreviations, easy",T1,Different Formatting,0.97301984,inmof,python,2048,Game Development,Puzzles
2vilz_1_4_5,2vilz_1_4,2vilz,python,"Abbreviations, easy",T1,Different Formatting,0.9724057,hb8jw,python,"Angles (geometric), normalization and conversion",Mathematics,Geometry
2vilz_2_1_1,2vilz_2_1,2vilz,python,"Abbreviations, easy",T2,Different Variable Names,0.9990939,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
2vilz_2_1_2,2vilz_2_1,2vilz,python,"Abbreviations, easy",T2,Different Variable Names,0.98847574,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
2vilz_2_1_3,2vilz_2_1,2vilz,python,"Abbreviations, easy",T2,Different Variable Names,0.98834294,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
2vilz_2_1_4,2vilz_2_1,2vilz,python,"Abbreviations, easy",T2,Different Variable Names,0.985899,v5a29,python,Animation,Game Development,Graphics
2vilz_2_1_5,2vilz_2_1,2vilz,python,"Abbreviations, easy",T2,Different Variable Names,0.9847822,u4wvd,python,Anagrams/Deranged anagrams,Programming Concepts,String Operations
2vilz_2_2_1,2vilz_2_2,2vilz,python,"Abbreviations, easy",T2,Different Data Types,0.9980941,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
2vilz_2_2_2,2vilz_2_2,2vilz,python,"Abbreviations, easy",T2,Different Data Types,0.98909426,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
2vilz_2_2_3,2vilz_2_2,2vilz,python,"Abbreviations, easy",T2,Different Data Types,0.98875046,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
2vilz_2_2_4,2vilz_2_2,2vilz,python,"Abbreviations, easy",T2,Different Data Types,0.9870336,v5a29,python,Animation,Game Development,Graphics
2vilz_2_2_5,2vilz_2_2,2vilz,python,"Abbreviations, easy",T2,Different Data Types,0.9823153,u4wvd,python,Anagrams/Deranged anagrams,Programming Concepts,String Operations
2vilz_2_3_1,2vilz_2_3,2vilz,python,"Abbreviations, easy",T2,Different Function Names,0.9992963,2vilz,python,"Abbreviations, easy",Programming Concepts,Text Processing
2vilz_2_3_2,2vilz_2_3,2vilz,python,"Abbreviations, easy",T2,Different Function Names,0.9904734,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
2vilz_2_3_3,2vilz_2_3,2vilz,python,"Abbreviations, easy",T2,Different Function Names,0.9894004,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
2vilz_2_3_4,2vilz_2_3,2vilz,python,"Abbreviations, easy",T2,Different Function Names,0.9873369,v5a29,python,Animation,Game Development,Graphics
2vilz_2_3_5,2vilz_2_3,2vilz,python,"Abbreviations, easy",T2,Different Function Names,0.98555624,u4wvd,python,Anagrams/Deranged anagrams,Programming Concepts,String Operations
